t = 0,t = 1,t = 2,t = 3,t = 4,t = 5
AKT2_[(S474)]-{0},1,1,1,1,1,1
AKT2_[(Thr309)]-{0},1,1,1,1,1,1
AKT2_[PH]--0,1,1,1,1,1,1
EIF4EBP1_[(Ser65)]-{0},1,1,1,1,1,1
EIF4EBP1_[(Thr37)]-{0},1,1,1,1,1,1
EIF4EBP1_[(Thr46)]-{0},1,1,1,1,1,1
EIF4EBP1_[(Thr70)]-{0},1,1,1,1,1,1
GTP,1,1,1,1,1,1
INPP4B,1,1,1,1,1,1
IRS_[(hS307)]-{0},1,1,1,1,1,1
IRS_[(hS527)]-{0},1,1,1,1,1,1
IRS_[(tyrosines)]-{0},1,1,1,1,1,1
IRS_[pYMXM]--0,1,1,1,1,1,1
IR_[insulin]--0,1,1,1,1,1,1
PDK1_[PH]--0,1,1,1,1,1,1
PHLPP1,1,1,1,1,1,1
PI3K_[SH2]--0,1,1,1,1,1,1
PI4K3alpha,1,1,1,1,1,1
PIPK1alpha,1,1,1,1,1,1
PIPP,1,1,1,1,1,1
PI_[(3)]-{0},1,1,1,1,1,1
PI_[(4)]-{0},1,1,1,1,1,1
PI_[(5)]-{0},1,1,1,1,1,1
PI_[AKT2]--0,1,1,1,1,1,1
PI_[PDK1]--0,1,1,1,1,1,1
PP2A,1,1,1,1,1,1
PP5,1,1,1,1,1,1
PPM1G_[(PPP1R3G)]-{0},1,1,1,1,1,1
PRAS40_[(Ser183)]-{0},1,1,1,1,1,1
PRAS40_[(Ser221)]-{0},1,1,1,1,1,1
PRAS40_[(Thr246)]-{0},1,1,1,1,1,1
PRAS40_[protein1433]--0,1,1,1,1,1,1
PTEN,1,1,1,1,1,1
RHEB_[(G)]-{0},1,1,1,1,1,1
RHEB_[switch1]--0,1,1,1,1,1,1
RHEB_[switch2]--0,1,1,1,1,1,1
RICTOR_[(Thr1135)]-{0},1,1,1,1,1,1
RICTOR_[mTOR]--0,1,1,1,1,1,1
Raptor_[mTOR]--0,1,1,1,1,1,1
S6K1_[(T389)]-{0},1,1,1,1,1,1
SAC1M1L,1,1,1,1,1,1
SIN1_[(Thr86)]-{0},1,1,1,1,1,1
SIN1_[mTOR]--0,1,1,1,1,1,1
SYNJ2,1,1,1,1,1,1
TSC2_[(Ser1130)]-{0},1,1,1,1,1,1
TSC2_[(Ser939)]-{0},1,1,1,1,1,1
TSC2_[(Ser981)]-{0},1,1,1,1,1,1
TSC2_[(Thr1462)]-{0},1,1,1,1,1,1
insulin_[IR]--0,1,1,1,1,1,1
mLST8_[WD40repeats]--0,1,1,1,1,1,1
mTOR_[LBE]--0,1,1,1,1,1,1
mTOR_[MheatFAT]--0,1,1,1,1,1,1
mTOR_[MheatNheatFAT]--0,1,1,1,1,1,1
mTOR_[RICTOR]--0,1,1,1,1,1,1
mTOR_[Raptor]--0,1,1,1,1,1,1
mTOR_[SIN1]--0,1,1,1,1,1,1
protein1433_[PRAS40]--0,1,1,1,1,1,1
unk1,1,1,1,1,1,1
unk2,1,1,1,1,1,1
unk3,1,1,1,1,1,1
unk4,1,1,1,1,1,1
unk5,1,1,1,1,1,1
unk6,1,1,1,1,1,1
unk7,1,1,1,1,1,1
unk8,1,1,1,1,1,1
unk9,1,1,1,1,1,1
PRAS40_[TOS]--0,1,1,1,1,0,0
Raptor_[BindingMotif]--0,1,1,1,1,0,0
TSC1_[Cterminus]--0,1,1,0,0,0,0
TSC2_[Nterminus]--0,1,1,0,0,0,0
AKT2_[PH]_i-_PI_[AKT2],0,1,1,1,1,1
IRS_[pYMXM]_ppi-_PI3K_[SH2],0,1,1,1,1,1
IR_p-_IRS_[(tyrosines)],0,1,1,1,1,1
PDK1_[PH]_i-_PI_[PDK1],0,1,1,1,1,1
PHLPP1_p-_AKT2_[(S474)],0,1,1,1,1,1
PI4K3alpha_p+_PI_[(4)],0,1,1,1,1,1
PP2A_p-_AKT2_[(Thr309)],0,1,1,1,1,1
PP5_p-_TSC2_[(Ser1130)],0,1,1,1,1,1
PP5_p-_TSC2_[(Ser939)],0,1,1,1,1,1
PP5_p-_TSC2_[(Ser981)],0,1,1,1,1,1
PP5_p-_TSC2_[(Thr1462)],0,1,1,1,1,1
PPM1G_p-_EIF4EBP1_[(Ser65)],0,1,1,1,1,1
PPM1G_p-_EIF4EBP1_[(Thr37)],0,1,1,1,1,1
PPM1G_p-_EIF4EBP1_[(Thr46)],0,1,1,1,1,1
PPM1G_p-_EIF4EBP1_[(Thr70)],0,1,1,1,1,1
RHEB_[switch1]_ppi-_mTOR_[MheatFAT],0,1,1,1,1,1
RHEB_[switch2]_ppi-_mTOR_[MheatNheatFAT],0,1,1,1,1,1
SAC1M1L_p-_PI_[(4)],0,1,1,1,1,1
TSC1_[Cterminus]_ppi+_TSC2_[Nterminus],0,1,1,1,1,1
insulin_[IR]_ppi-_IR_[insulin],0,1,1,1,1,1
mTOR_[LBE]_ppi+_mLST8_[WD40repeats],0,1,1,1,1,1
mTOR_[LBE]_ppi-_mLST8_[WD40repeats],0,1,1,1,1,1
mTOR_[RICTOR]_ppi+_RICTOR_[mTOR],0,1,1,1,1,1
mTOR_[RICTOR]_ppi-_RICTOR_[mTOR],0,1,1,1,1,1
mTOR_[Raptor]_ppi+_Raptor_[mTOR],0,1,1,1,1,1
mTOR_[Raptor]_ppi-_Raptor_[mTOR],0,1,1,1,1,1
mTOR_[SIN1]_ppi+_SIN1_[mTOR],0,1,1,1,1,1
mTOR_[SIN1]_ppi-_SIN1_[mTOR],0,1,1,1,1,1
protein1433_[PRAS40]_ppi-_PRAS40_[protein1433],0,1,1,1,1,1
unk1_p-_PPM1G_[(PPP1R3G)],0,1,1,1,1,1
unk2_p-_S6K1_[(T389)],0,1,1,1,1,1
unk3_p-_IRS_[(hS307)],0,1,1,1,1,1
unk4_p-_IRS_[(hS527)],0,1,1,1,1,1
unk5_p-_RICTOR_[(Thr1135)],0,1,1,1,1,1
unk6_p-_PRAS40_[(Thr246)],0,1,1,1,1,1
unk7_p-_PRAS40_[(Ser183)],0,1,1,1,1,1
unk8_p-_PRAS40_[(Ser221)],0,1,1,1,1,1
unk9_p-_SIN1_[(Thr86)],0,1,1,1,1,1
PI_[(4)]-{p},0,0,1,1,1,1
RICTOR_[mTOR]--mTOR_[RICTOR],0,0,1,1,1,1
Raptor_[mTOR]--mTOR_[Raptor],0,0,1,1,1,1
SIN1_[mTOR]--mTOR_[SIN1],0,0,1,1,1,1
TSC1_[Cterminus]--TSC2_[Nterminus],0,0,1,1,1,1
mLST8_[WD40repeats]--mTOR_[LBE],0,0,1,1,1,1
PIPK1alpha_p+_PI_[(5)],0,0,0,1,1,1
Raptor_[BindingMotif]_ppi+_PRAS40_[TOS],0,0,0,1,1,1
SYNJ2_p-_PI_[(5)],0,0,0,1,1,1
TSC2_gap_RHEB_[(G)],0,0,0,1,1,1
PI_[(5)]-{p},0,0,0,0,1,1
PRAS40_[TOS]--Raptor_[BindingMotif],0,0,0,0,1,1
PTEN_p-_PI_[(3)],0,0,0,0,0,1
AKT2_[PH]_i+_PI_[AKT2],0,0,0,0,0,0
AKT2_p+_PPM1G_[(PPP1R3G)],0,0,0,0,0,0
AKT2_p+_PRAS40_[(Thr246)],0,0,0,0,0,0
AKT2_p+_SIN1_[(Thr86)],0,0,0,0,0,0
AKT2_p+_TSC2_[(Ser1130)],0,0,0,0,0,0
AKT2_p+_TSC2_[(Ser939)],0,0,0,0,0,0
AKT2_p+_TSC2_[(Ser981)],0,0,0,0,0,0
AKT2_p+_TSC2_[(Thr1462)],0,0,0,0,0,0
GTP_gef_RHEB_[(G)],0,0,0,0,0,0
INPP4B_p-_PI_[(4)],0,0,0,0,0,0
IRS_[pYMXM]_ppi+_PI3K_[SH2],0,0,0,0,0,0
IR_p+_IRS_[(tyrosines)],0,0,0,0,0,0
PDK1_[PH]_i+_PI_[PDK1],0,0,0,0,0,0
PDK1_p+_AKT2_[(Thr309)],0,0,0,0,0,0
PI3K_p+_PI_[(3)],0,0,0,0,0,0
PIPP_p-_PI_[(5)],0,0,0,0,0,0
RHEB_[switch1]_ppi+_mTOR_[MheatFAT],0,0,0,0,0,0
RHEB_[switch2]_ppi+_mTOR_[MheatNheatFAT],0,0,0,0,0,0
Raptor_[BindingMotif]_ppi-_PRAS40_[TOS],0,0,0,0,0,0
S6K1_p+_IRS_[(hS307)],0,0,0,0,0,0
S6K1_p+_IRS_[(hS527)],0,0,0,0,0,0
S6K1_p+_RICTOR_[(Thr1135)],0,0,0,0,0,0
TSC1_[Cterminus]_ppi-_TSC2_[Nterminus],0,0,0,0,0,0
[Output],0,0,0,0,0,0
insulin_[IR]_ppi+_IR_[insulin],0,0,0,0,0,0
mTOR_p+_AKT2_[(S474)],0,0,0,0,0,0
mTOR_p+_EIF4EBP1_[(Ser65)],0,0,0,0,0,0
mTOR_p+_EIF4EBP1_[(Thr37)],0,0,0,0,0,0
mTOR_p+_EIF4EBP1_[(Thr46)],0,0,0,0,0,0
mTOR_p+_EIF4EBP1_[(Thr70)],0,0,0,0,0,0
mTOR_p+_PRAS40_[(Ser183)],0,0,0,0,0,0
mTOR_p+_PRAS40_[(Ser221)],0,0,0,0,0,0
mTOR_p+_S6K1_[(T389)],0,0,0,0,0,0
protein1433_[PRAS40]_ppi+_PRAS40_[protein1433],0,0,0,0,0,0
AKT2_[(S474)]-{p},0,0,0,0,0,0
AKT2_[(Thr309)]-{p},0,0,0,0,0,0
AKT2_[PH]--PI_[AKT2],0,0,0,0,0,0
EIF4EBP1_[(Ser65)]-{p},0,0,0,0,0,0
EIF4EBP1_[(Thr37)]-{p},0,0,0,0,0,0
EIF4EBP1_[(Thr46)]-{p},0,0,0,0,0,0
EIF4EBP1_[(Thr70)]-{p},0,0,0,0,0,0
IRS_[(hS307)]-{p},0,0,0,0,0,0
IRS_[(hS527)]-{p},0,0,0,0,0,0
IRS_[(tyrosines)]-{p},0,0,0,0,0,0
IRS_[pYMXM]--PI3K_[SH2],0,0,0,0,0,0
IR_[insulin]--insulin_[IR],0,0,0,0,0,0
PDK1_[PH]--PI_[PDK1],0,0,0,0,0,0
PI_[(3)]-{p},0,0,0,0,0,0
PPM1G_[(PPP1R3G)]-{p},0,0,0,0,0,0
PRAS40_[(Ser183)]-{p},0,0,0,0,0,0
PRAS40_[(Ser221)]-{p},0,0,0,0,0,0
PRAS40_[(Thr246)]-{p},0,0,0,0,0,0
PRAS40_[protein1433]--protein1433_[PRAS40],0,0,0,0,0,0
RHEB_[(G)]-{gtp},0,0,0,0,0,0
RHEB_[switch1]--mTOR_[MheatFAT],0,0,0,0,0,0
RHEB_[switch2]--mTOR_[MheatNheatFAT],0,0,0,0,0,0
RICTOR_[(Thr1135)]-{p},0,0,0,0,0,0
S6K1_[(T389)]-{p},0,0,0,0,0,0
SIN1_[(Thr86)]-{p},0,0,0,0,0,0
TSC2_[(Ser1130)]-{p},0,0,0,0,0,0
TSC2_[(Ser939)]-{p},0,0,0,0,0,0
TSC2_[(Ser981)]-{p},0,0,0,0,0,0
TSC2_[(Thr1462)]-{p},0,0,0,0,0,0
[IR],0,0,0,0,0,0
[activatedIR],0,0,0,0,0,0
[activatedPI3K],0,0,0,0,0,0
[insulin],0,0,0,0,0,0
